,height,weight,age,male
0,151.765,47.8256065,63.0,1
1,139.7,36.4858065,63.0,0
2,136.525,31.864838,65.0,0
3,156.845,53.041914500000004,41.0,1
4,145.415,41.276872,51.0,0
5,163.83,62.992589,35.0,1
6,149.225,38.2434755,32.0,0
7,168.91,55.4799715,27.0,1
8,147.955,34.869885,19.0,0
9,165.1,54.487739000000005,54.0,1
10,154.305,49.89512,47.0,0
11,151.13,41.220172999999996,66.0,1
12,144.78,36.0322145,73.0,0
13,149.9,47.7,20.0,0
14,150.495,33.849303000000006,65.3,0
15,163.195,48.5626935,36.0,1
16,157.48,42.3258035,44.0,1
17,143.9418,38.3568735,31.0,0
18,121.92,19.617854,12.0,1
19,105.41,13.947954000000001,8.0,0
20,86.36,10.489315,6.5,0
21,161.29,48.987936,39.0,1
22,156.21,42.722696500000005,29.0,0
23,129.54,23.586783999999998,13.0,1
24,109.22,15.989118,7.0,0
25,146.4,35.493574,56.0,1
26,148.59,37.9032815,45.0,0
27,147.32,35.4652245,19.0,0
28,137.16,27.328917999999998,17.0,1
29,125.73,22.6796,16.0,0
30,114.3,17.860185,11.0,1
31,147.955,40.312989,29.0,1
32,161.925,55.111428000000004,30.0,1
33,146.05,37.5063885,24.0,0
34,146.05,38.498621,35.0,0
35,152.7048,46.606578000000006,33.0,0
36,142.875,38.838815000000004,27.0,0
37,142.875,35.578622499999994,32.0,0
38,147.955,47.400364,36.0,0
39,160.655,47.8823055,24.0,1
40,151.765,49.4131785,30.0,1
41,162.8648,49.384828999999996,24.0,1
42,171.45,56.557252500000004,52.0,1
43,147.32,39.12231,42.0,0
44,147.955,49.89512,19.0,0
45,144.78,28.803092,17.0,0
46,121.92,20.41164,8.0,1
47,128.905,23.359988,12.0,0
48,97.79,13.267566,5.0,0
49,154.305,41.2485225,55.0,1
50,143.51,38.55532,43.0,0
51,146.7,42.4,20.0,1
52,157.48,44.6504625,18.0,1
53,127.0,22.010551800000002,13.0,1
54,110.49,15.422128,9.0,0
55,97.79,12.757275,5.0,0
56,165.735,58.598416500000006,42.0,1
57,152.4,46.719976,44.0,0
58,141.605,44.22522,60.0,0
59,158.8,50.9,20.0,0
60,155.575,54.317642000000006,37.0,0
61,164.465,45.8978405,50.0,1
62,151.765,48.024053,50.0,0
63,161.29,52.219778999999996,31.0,1
64,154.305,47.627159999999996,25.0,0
65,145.415,45.642695,23.0,0
66,145.415,42.410852,52.0,0
67,152.4,36.4858065,79.3,1
68,163.83,55.9335635,35.0,1
69,144.145,37.194544,27.0,0
70,129.54,24.550667,13.0,1
71,129.54,25.627948,14.0,0
72,153.67,48.307548,38.0,1
73,142.875,37.336291499999994,39.0,0
74,146.05,29.596878000000004,12.0,0
75,167.005,47.173567999999996,30.0,1
76,158.4198,47.286966,24.0,0
77,91.44,12.927372,0.6,1
78,165.735,57.549485,51.0,1
79,149.86,37.931631,46.0,0
80,147.955,41.900560999999996,17.0,0
81,137.795,27.5840635,12.0,0
82,154.94,47.2019175,22.0,0
83,160.9598,43.204638,29.0,1
84,161.925,50.2636635,38.0,1
85,147.955,39.377455499999996,30.0,0
86,113.665,17.463292000000003,6.0,1
87,159.385,50.68899999999999,45.0,1
88,148.59,39.4341545,47.0,0
89,136.525,36.28736,79.0,0
90,158.115,46.266384,45.0,1
91,144.78,42.2691045,54.0,0
92,156.845,47.627159999999996,31.0,1
93,179.07,55.706767500000005,23.0,1
94,118.745,18.824068,9.0,0
95,170.18,48.5626935,41.0,1
96,146.05,42.807745000000004,23.0,0
97,147.32,35.0683315,36.0,0
98,113.03,17.8885345,5.0,1
99,162.56,56.755699,30.0,0
100,133.985,27.442315999999998,12.0,1
101,152.4,51.255896,34.0,0
102,160.02,47.230267,44.0,1
103,149.86,40.936678,43.0,0
104,142.875,32.715323,73.3,0
105,167.005,57.067543500000006,38.0,1
106,159.385,42.977841999999995,43.0,1
107,154.94,39.9444455,33.0,0
108,148.59,32.4601775,16.0,0
109,111.125,17.123098000000002,11.0,1
110,111.76,16.499409,6.0,1
111,162.56,45.9545395,35.0,1
112,152.4,41.106775,29.0,0
113,124.46,18.257078,12.0,0
114,111.76,15.081934,9.0,1
115,86.36,11.481547500000001,7.6,1
116,170.18,47.5988105,58.0,1
117,146.05,37.5063885,53.0,0
118,159.385,45.019006,51.0,1
119,151.13,42.2691045,48.0,0
120,160.655,54.85628249999999,29.0,1
121,169.545,53.523856,41.0,1
122,158.75,52.1914295,81.75,1
123,74.295,9.752228,1.0,1
124,149.86,42.410852,35.0,0
